ID	SalePrice	SqrFeet	Bedrooms	Bathrooms	Air	CarGarage	Pool	Lotsize
95	640000	2705	3	3	1	3	0	22196
96	600000	2344	4	3	1	2	0	86004
97	582500	4264	5	4	1	4	0	24983
98	545000	2615	3	3	1	3	0	21722
99	480000	3608	6	4	1	3	0	25219
100	595000	2479	4	4	1	3	0	29805
101	610000	3251	3	4	1	3	1	25570
102	570000	2547	2	3	1	3	0	21789
103	479000	5032	7	3	1	3	0	22000
104	545000	4973	6	6	1	3	1	56139
105	335000	2582	4	3	1	2	0	23256
106	629000	3139	6	4	1	2	1	21810
107	505500	3516	4	4	1	3	0	19867
108	370000	2936	4	4	1	3	0	16437
109	529000	3351	5	4	1	3	0	24216
110	490000	3136	4	4	1	3	0	27158
111	535000	3525	4	5	1	3	0	27501
112	612000	3917	6	5	1	3	0	37972
113	442500	2702	4	3	1	3	0	39643
114	500000	3644	3	4	1	3	0	21895
115	539000	3072	4	4	1	3	0	25158
116	545500	3233	4	4	1	3	0	22961
117	424000	2918	4	4	1	3	0	22003
118	325000	3266	4	3	1	3	0	16640
119	367000	2940	4	7	1	2	0	22003
120	470000	3430	3	4	1	2	1	25018
121	393000	2472	4	4	1	3	0	21784
122	530000	2878	4	4	1	3	0	68351
123	400000	2537	3	3	1	2	0	11053
124	403500	3858	4	4	1	3	0	22224
125	550000	2742	3	3	1	3	0	22306
126	380000	3460	5	4	1	2	0	18571
127	500000	3836	5	4	1	3	0	48465
128	465000	4453	7	5	1	2	0	15595
129	451500	4080	5	4	1	3	0	22134
130	336000	3301	3	4	1	2	0	18741
131	550000	3828	4	5	1	2	1	17051
132	450000	2973	4	3	1	2	0	21999
133	440000	2821	5	4	1	2	1	32914
134	515000	2950	5	3	1	2	0	21598
135	415000	2362	3	3	1	2	0	21604
136	380000	3092	3	4	1	2	0	20081
137	489500	2866	4	4	0	2	0	22424
138	478000	3369	5	4	1	3	0	21161
139	460000	3068	4	4	1	3	0	18289
140	379900	2380	3	3	1	3	0	21999
141	390000	2225	2	3	1	3	0	38722
142	338000	2655	3	3	1	2	0	21960
143	675000	3855	4	4	1	3	0	35845
144	440000	2892	4	4	1	2	0	35839
145	500000	3832	4	3	1	2	0	28722
146	470000	3164	6	4	1	2	0	20505
147	317500	2620	3	2	1	3	0	12266
148	430000	3076	6	4	1	3	0	26648
149	430000	4022	6	4	1	3	0	18429
150	475000	3377	4	3	1	3	0	22495
151	389000	2858	5	4	1	1	0	23981
152	400000	3540	4	4	1	3	1	18012
153	395000	3045	4	3	1	1	0	34356
154	395000	4150	4	3	0	3	0	21778
155	296000	1778	2	2	1	2	0	24022
156	387500	2412	2	3	1	3	0	22676
157	353000	2668	4	3	1	2	0	18384
158	350000	2274	4	3	1	3	0	22049
159	437632	2936	4	3	1	3	0	22844
160	447500	2526	2	2	1	0	0	28248
161	318500	2449	4	4	1	2	0	22075
162	352000	3131	4	4	1	2	0	15209
163	295000	2536	3	3	1	3	0	39427
164	313500	3314	2	3	1	3	0	24339
165	330000	2230	3	2	1	2	0	24798
166	400000	2631	4	4	0	2	0	44885
167	325000	2638	4	3	1	2	0	25747
168	340000	2756	4	3	1	2	1	22546
169	399900	3262	5	4	1	2	0	25541
170	249900	1936	4	4	1	3	0	12850
171	389000	3148	4	4	1	3	1	16587
172	364500	2616	3	4	1	2	0	32655
173	357500	3630	4	3	1	2	0	23283
174	295000	1954	3	3	1	3	1	19300
175	274500	1926	5	3	1	2	0	26418
176	259000	2556	3	2	1	2	0	80886
177	415000	2282	5	4	1	2	0	23003
178	443000	3314	3	4	1	3	0	22012
179	249000	2001	3	3	1	2	0	23812
180	330000	2607	5	2	1	2	0	23139
181	291000	2840	4	4	1	2	0	23079
182	418000	3036	3	5	0	2	0	33746
183	320000	2240	4	2	1	3	0	18682
184	264000	1788	3	3	0	2	0	18484
185	381000	2620	5	4	1	2	0	28093
186	250000	1480	3	3	1	2	0	14230
187	360000	2588	3	3	1	2	1	19004
188	369500	3138	4	4	1	2	0	18190
189	285400	2460	5	4	1	2	0	27492
190	409000	3566	4	4	1	2	0	18044
191	333000	2692	5	4	1	3	0	22020
192	362000	2958	5	4	1	3	0	45200
193	387500	3164	4	4	1	2	1	23856
194	239000	2058	3	3	1	2	0	21046
195	299900	2717	3	4	1	2	0	22083
196	335000	2920	4	3	1	3	0	22434
197	275000	2554	5	3	1	2	0	21820
198	328000	2805	3	4	1	2	0	22582
199	333000	2736	4	3	1	2	1	29591
200	397000	3516	5	7	1	3	0	34795
201	374800	3536	6	4	1	2	1	19997
202	520000	2138	5	3	1	3	0	86830
203	325000	2718	4	4	1	3	0	22842
204	295000	2178	5	3	1	2	0	25891
205	415000	3152	5	4	1	2	0	24446
206	224900	2611	3	3	1	2	0	6924
207	265000	2060	4	3	1	2	0	13091
208	299900	2448	4	4	1	3	0	26790
209	390000	4050	6	5	1	2	1	18262
210	271000	2414	3	3	1	2	0	24357
211	330000	3072	4	3	1	2	0	16431
212	350000	2525	3	3	1	3	0	27138
213	310000	2866	5	3	1	3	0	25249
214	340000	3246	4	4	1	3	0	52218
215	307000	2707	4	4	1	2	0	22094
216	304000	2300	5	3	1	2	0	35824
217	275900	1860	3	3	1	2	0	40741
218	315000	3636	5	3	1	2	0	19776
219	295000	1910	4	3	1	2	0	30996
220	251010	2280	4	2	1	2	0	25543
221	335000	3386	4	5	0	2	0	38428
222	343500	2324	5	4	1	3	0	22435
223	297000	1970	4	3	1	2	0	25814
224	281000	2062	3	3	1	2	1	23608
225	235000	2617	4	3	1	2	0	8903
226	237000	2612	4	3	1	2	0	10144
227	274900	2472	3	3	1	2	0	22451
228	229900	1922	4	2	1	2	0	15791
229	259000	1852	3	2	1	2	0	22204
230	245000	2239	3	3	1	2	0	22216
231	208000	2068	3	2	1	2	0	34773
232	421000	2101	3	3	0	2	0	65499
233	320000	2200	4	3	1	2	0	31450
234	256000	1972	3	3	0	2	0	32027
235	275000	2007	3	3	1	2	1	21311
236	222000	2612	4	3	1	2	0	8229
237	249900	2124	4	1	1	3	0	21834
238	273500	2612	4	3	1	2	0	8924
239	218500	2548	2	2	1	2	0	10210
240	377000	2767	3	3	1	3	0	75232
241	220000	2025	3	3	1	2	0	19618
242	192900	1956	4	2	1	2	0	21779
243	298750	2460	4	3	1	2	0	23907
244	315000	2764	3	3	1	3	0	23947
245	315000	2004	4	3	1	2	0	24453
246	465900	2852	4	3	1	2	1	34040
247	239500	2096	3	3	1	2	0	15237
248	276000	2330	3	3	1	2	0	17433
249	226000	2520	4	3	1	2	0	12145
250	235000	2528	3	3	1	2	0	26469
251	247000	2030	4	3	1	3	0	23202
252	182000	2208	2	2	1	2	0	6734
253	180000	1500	2	1	1	0	0	39776
254	249000	2078	5	3	1	2	0	21512
255	260000	2442	4	3	1	2	0	21149
256	219900	2612	3	3	1	2	0	11288
257	295000	2268	4	3	1	3	0	23976
258	290000	2734	4	3	1	2	0	23488
259	300000	2228	4	3	1	2	0	21232
260	354900	3000	5	4	1	3	0	21643
261	261000	2404	5	3	1	3	1	17791
262	174500	1840	3	2	1	2	0	16356
263	244900	2107	3	2	0	2	0	30050
264	274900	2788	4	3	1	2	0	18960
265	214000	2416	3	3	1	2	0	15594
266	283000	2430	3	4	1	3	0	18164
267	177900	1584	3	2	1	2	0	13947
268	237500	1873	3	3	1	2	0	21998
269	202150	1644	4	3	1	2	0	19499
270	235000	2400	4	3	1	2	0	44347
271	217000	2094	4	3	1	2	0	18617
272	285000	2561	3	3	1	3	0	18985
273	217500	1752	3	2	1	2	0	24053
274	210000	1738	5	3	1	2	0	15206
275	183340	2068	3	2	1	3	0	24325
276	252000	2428	4	3	1	2	0	22727
277	237000	2090	4	2	1	2	0	22055
278	205000	1820	3	2	1	2	0	28023
279	285000	3219	4	4	1	2	0	28200
280	210000	2654	3	5	1	2	0	28882
281	280000	1802	4	3	1	2	0	27700
282	207000	1765	3	2	1	2	0	22983
283	221000	2786	4	3	1	2	0	22875
284	257000	1794	3	2	1	2	0	21691
285	274000	2768	3	3	0	2	0	26268
286	262000	2288	3	2	1	2	0	16975
287	204400	2028	3	2	1	2	0	26777
288	254900	2620	5	3	1	2	0	27989
289	244000	1644	3	3	1	2	0	32164
290	213000	1888	3	2	1	3	0	14757
291	240000	2116	4	3	1	2	0	22041
292	235000	2313	4	3	1	2	0	24705
293	206000	1824	4	2	1	2	0	14748
294	237000	1942	4	3	1	2	0	23105
295	274000	2184	4	3	1	2	0	19090
296	275000	2578	3	3	1	2	0	22299
297	218400	2036	4	3	1	2	0	21996
298	156000	1384	2	1	0	2	0	26706
299	220000	1826	4	3	1	2	0	19870
300	171500	1681	3	2	1	1	0	15985
301	180000	1726	3	2	1	2	0	26769
302	204000	1910	3	2	1	2	0	15423
303	307000	2664	4	3	1	2	0	22684
304	265000	2116	3	3	1	2	0	33344
305	209900	2030	3	3	1	2	0	21914
306	173000	1940	3	2	0	2	0	11610
307	189000	1676	3	3	0	2	0	21780
308	222500	2120	3	2	1	2	1	17883
309	265000	2152	4	3	1	2	0	26075
310	264670	1984	4	3	1	2	0	31204
311	200750	1575	3	3	1	2	0	25543
312	227900	1798	3	3	1	2	0	17820
313	255000	2017	3	1	0	1	0	86571
314	208500	1904	3	3	1	2	0	15559
315	226900	1718	3	3	1	2	0	49613
316	215000	1776	4	2	0	1	0	22839
317	222950	2609	4	3	1	2	0	26087
318	239900	2226	3	3	1	2	0	13520
319	176000	1556	2	1	1	3	0	15623
320	228000	1764	2	2	1	2	0	8105
321	204900	1626	3	3	1	2	1	15288
322	258000	2012	5	3	1	2	0	21303
323	241850	2090	4	4	1	2	0	22010
324	198500	2192	4	2	1	2	0	22851
325	243000	2228	4	4	1	2	0	21881
326	187000	1825	4	2	1	2	0	15810
327	233000	2132	4	3	1	2	0	17159
328	205000	2160	3	2	1	2	0	16555
329	205000	1974	3	2	1	2	0	26196
330	189000	1696	3	3	1	2	0	31851
331	204900	2132	3	3	1	2	0	23986
332	239000	1814	4	3	1	2	1	24698
333	193000	1796	3	2	1	2	0	29281
334	260000	2268	5	3	1	2	0	35240
335	188000	1719	2	3	1	2	0	22009
336	190500	1704	3	2	1	2	0	22583
337	230000	2142	3	2	1	2	0	22223
338	240000	1705	4	2	1	2	0	42322
339	235000	1752	4	3	1	2	0	39267
340	275000	2554	5	3	1	2	1	22381
341	205000	1650	3	2	1	2	0	27235
342	280000	2816	5	3	1	2	0	29109
343	190000	1919	3	4	1	2	0	20093
344	232500	2080	3	2	1	2	0	32021
345	259500	2108	4	4	1	2	0	24685
346	275000	2480	3	3	1	2	0	22144
347	183900	1746	3	2	1	2	0	52136
348	290000	2703	3	3	0	4	0	43599
349	217950	1640	4	2	1	2	0	21314
350	220000	2196	4	3	1	2	0	17899
351	185000	1701	3	2	1	1	0	21938
352	288000	2250	3	2	1	2	0	23684
353	197500	2502	4	2	1	2	0	23749
354	179975	1762	4	3	1	2	0	15742
355	195000	2016	4	3	1	2	0	18102
356	228400	1904	3	3	1	2	1	14945
357	194750	1652	5	2	1	2	0	24644
358	195000	2042	4	3	0	2	0	21849
359	210000	2019	4	3	1	3	0	14837
360	239550	2791	5	3	1	3	0	22863
361	242000	2514	4	3	1	1	0	17535
362	185000	1746	3	2	1	2	0	12386
363	175000	1930	3	2	1	2	0	15923
364	165000	1552	3	1	1	3	0	27068
365	185000	1566	4	2	1	2	0	13504
366	173194	1669	3	2	1	2	0	24643
367	205150	1814	3	3	1	2	0	18714
368	214200	1794	3	3	1	3	0	24308
369	182500	1691	3	2	1	2	1	21961
370	205000	1834	4	3	1	2	0	30726
371	208000	1984	5	3	1	2	0	22047
372	225000	1966	4	3	1	2	0	24871
373	170000	1669	3	2	1	2	0	21253
374	216000	2132	4	3	1	2	0	41332
375	180000	2007	4	3	1	2	0	15992
376	169200	1964	4	2	1	2	0	18162
377	213000	2325	4	3	1	3	0	16699
378	210000	2196	4	3	1	2	0	29329
379	185000	2061	3	2	1	2	0	25379
380	179900	1828	3	2	1	2	0	37150
381	196000	1956	4	3	1	2	0	20486
382	219900	1852	6	3	1	2	0	20800
383	159900	1795	1	2	1	2	0	26467
384	170000	1580	2	1	0	1	0	10799
385	169900	1708	3	1	0	1	0	11413
386	189500	1700	4	2	0	2	0	14023
387	195000	1742	1	1	1	2	0	18250
388	215000	1890	4	2	1	2	0	22110
389	171000	1512	2	1	0	1	0	14774
390	179900	1840	3	1	0	2	0	40832
391	120000	1060	2	1	0	2	0	15001
392	175000	1540	3	2	0	2	0	45458
393	232900	1550	4	2	1	2	1	14998
394	229900	2787	4	2	1	1	0	39558
395	174900	1528	2	2	1	2	0	25193
396	168900	1928	2	2	0	2	0	26393
397	229500	2329	3	2	1	2	0	28179
398	236000	1940	4	3	1	2	0	15073
399	205500	2114	5	2	1	2	0	14526
400	212000	1799	3	2	1	2	0	16210
401	205000	1864	3	2	1	2	0	25628
402	193000	1581	3	2	1	2	0	15064
403	180000	1652	3	2	1	2	0	21875
404	184000	1592	4	2	0	2	0	25943
405	144900	1520	3	1	0	1	0	36359
406	255000	1792	2	2	1	2	0	31257
407	137000	1464	2	1	0	1	0	14999
408	178000	1702	3	2	0	2	0	21898
409	296000	2180	3	2	1	2	0	29617
410	186500	1486	2	2	1	2	0	18479
411	170000	1364	2	1	0	2	0	26369
412	219000	1540	4	2	1	2	0	30691
413	188000	1608	4	2	1	2	0	19380
414	195250	1668	3	1	1	2	0	17060
415	175000	1944	3	2	1	2	0	43562
416	215000	1883	4	2	1	2	1	19932
417	197500	2215	4	1	0	2	0	25540
418	249900	1916	2	2	1	2	0	20576
419	180000	1508	2	2	1	2	0	32469
420	174900	1809	3	1	1	2	0	16782
421	189900	1958	4	3	0	2	0	22788
422	154000	1592	2	1	1	2	0	10332
423	150000	1636	2	1	1	2	0	10000
424	189900	1800	3	2	0	2	0	13566
425	157000	1600	3	1	0	2	0	10807
426	182000	1550	3	1	1	2	0	15100
427	187650	1578	3	1	1	2	0	14631
428	175000	1644	3	1	1	2	0	12999
429	189900	1556	3	2	1	1	0	19840
430	175000	1672	3	1	1	2	0	22617
431	159900	1650	2	2	1	1	0	14997
432	184900	1676	3	2	0	2	0	16156
433	174900	1960	2	2	0	2	0	16953
434	143000	1649	3	1	1	1	0	20096
435	164900	1728	3	1	1	1	0	10999
436	173500	1586	3	2	1	1	0	15862
437	161800	1592	2	1	0	1	0	18686
438	148000	1514	2	2	1	1	0	16209
439	177000	1952	4	2	1	2	0	24377
440	149900	1550	3	1	1	2	0	14311
441	170000	1544	2	2	0	1	0	14942
442	142000	1566	3	1	0	1	0	15228
443	186900	1650	3	2	1	2	0	22000
444	152900	1392	2	2	0	2	0	29199
445	350000	2981	5	4	1	2	0	49756
446	130000	1412	2	1	0	1	0	16752
447	167900	2180	4	2	0	2	0	15001
448	184900	1704	2	2	1	2	0	16759
449	178000	1600	3	2	1	2	0	15090
450	111000	1276	3	2	0	1	0	11554
451	207000	1666	4	2	0	1	0	39523
452	190000	1760	3	2	1	2	0	20193
453	230000	1836	3	2	0	2	0	46339
454	165000	1636	3	1	0	2	0	20125
455	210000	1748	3	2	1	2	0	14512
456	226000	2556	4	2	0	2	0	36276
457	149900	1511	4	1	1	1	0	14821
458	155000	1524	3	2	1	2	0	21875
459	219900	1821	4	2	1	2	0	16696
460	132000	1596	1	1	0	0	0	28357
461	195000	2392	4	2	0	2	0	30265
462	155900	1748	2	1	1	2	0	16231
463	119900	1384	2	1	0	0	0	30002
464	175000	1628	3	1	1	2	1	17069
465	304000	1911	4	2	1	2	0	86248
466	190000	1624	4	3	0	1	0	15002
467	229100	1956	3	2	1	2	1	14710
468	187500	2012	4	2	0	2	0	14925
469	173000	1590	2	2	1	2	0	22336
470	170000	1687	2	1	1	1	0	20925
471	179000	1816	4	1	1	2	0	16508
472	162500	1622	3	1	1	1	0	16120
473	172000	1604	4	2	1	2	0	14964
474	153200	1592	4	2	0	1	0	16396
475	220000	1922	3	2	1	2	0	33579
476	174000	1892	3	1	1	1	0	14712
477	200000	1628	3	1	1	2	0	15412
478	161000	1644	2	2	1	2	0	17030
479	135000	1450	3	1	1	2	0	15868
480	190000	1592	3	2	1	2	0	22748
481	153800	1654	2	1	0	2	0	25874
482	144900	1388	2	1	1	2	0	10568
483	165000	1670	3	2	0	2	0	18525
484	186000	1953	3	2	1	1	0	17129
485	167000	2008	3	1	1	2	0	21860
486	189600	1650	3	2	1	2	0	34724
487	170000	1578	3	1	1	2	0	22485
488	189500	1618	3	2	1	2	0	27539
489	153500	1642	3	1	0	2	0	14901
490	159900	2008	1	2	1	2	0	31657
491	158000	1604	3	2	1	1	0	23534
492	175000	2035	4	2	1	3	0	20131
493	147000	1534	3	2	0	1	0	15361
494	155000	1624	2	2	1	2	0	16721
495	150000	1700	4	2	1	1	0	15391
496	165000	1630	3	2	1	2	0	24963
497	147000	1526	3	2	1	1	0	15007
498	146250	1672	3	1	1	2	0	22617
499	177500	1588	4	2	1	2	0	21925
500	153650	1752	4	2	1	2	0	9126
501	199500	1674	4	2	0	2	0	33237
502	186000	1980	3	1	0	1	0	47679
503	139900	1396	1	1	0	2	0	25879
504	160000	1178	1	1	0	2	0	9941
505	125000	1263	2	2	0	0	0	12357
506	359900	2377	5	2	1	2	0	51005
507	184500	1304	3	1	1	2	0	21305
508	155000	1340	3	1	0	0	0	5666
509	150000	1559	2	1	0	2	0	23999
510	146000	1412	1	2	1	0	0	4560
511	129000	1198	2	2	1	2	0	20918
512	145000	1424	2	1	1	2	0	16414
513	200000	1370	4	1	0	1	0	8000
514	149900	1584	3	2	1	2	0	13514
515	132000	1567	2	1	1	1	0	12249
516	136900	1409	2	1	0	1	0	28421
517	137000	1655	2	1	0	1	0	54651
518	185000	1944	3	2	1	2	0	17999
519	133500	1922	3	1	0	2	0	14805
520	124000	1480	3	2	1	2	0	28351
521	95500	1184	2	1	0	1	0	14786
